1,Howard the Duck,Willard Huyck,Comedy/Sci-fi/Action,1h 51m,15%,1986,n/a,TRUE,A sarcastic humanoid duck is pulled from his homeworld to Earth where he must stop a hellish alien invasion with the help of a nerdy scientist and a cute struggling female rock singer who fancies him.
2,Superman IV: The Quest for Peace,Sidney J. Furie,Fantasy/Sci-fi/Superhero,1h 33m,11%,1987,n/a,TRUE,"The Man of Steel crusades for nuclear disarmament and meets Lex Luthor's latest creation, Nuclear Man."
3,Hobgoblins,Rick Sloane,Thriller/Indie,1h 32m,11%,1988,n/a,TRUE,A young security guard must track down diminutive aliens who kill people even as they make their fantasies come true.
4,Mac and Me,Stewart Raffill,Sci-fi/Fantasy,1h 39m,38%,1988,n/a,TRUE,"A young extraterrestrial, separated from his family and stranded on Earth, finds friendship with a handicapped youth."
5,Troll ,John Carl Buechler,Fantasy/Horror,1h 26m,25%,1986,n/a,TRUE,A wicked troll king in search of a mystical ring that will transform him to human form invades a San Francisco apartment complex where a powerful witch lives.
6,Troll 2,Claudio Fragasso,Fantasy/Mystery,1h 35m,6%,1990,n/a,TRUE,"A family vacationing in a small town discovers the entire town is inhabited by goblins in disguise as humans, who plan to eat them."
7,North,Rob Reiner,Adaptation/Fantasy,1h 27m,14%,1994,n/a,TRUE,"Sick of the neglect he receives from his mom and dad, a young boy leaves home and travels the world in search of new parents."
8,Battlefield Earth ,Roger Christian,Sci-fi/Action,1h 59m,3%,2000,n/a,TRUE,"It's the year 3000 A.D.; the Earth is lost to the alien race of Psychlos. Humanity is enslaved by these gold-thirsty tyrants, whom are unaware that their 'man-animals' are about to ignite the rebellion of a lifetime."
9,The Room,Tommy Wiseau,Drama/Romance,1h 39m,26%,2003,n/a,TRUE,"Johnny is a successful bank executive who lives quietly in a San Francisco townhouse with his future wife, Lisa. One day, putting aside any scruple, she seduces Johnny's best friend, Mark. From there, nothing will be the same again."
10,Birdemic: Shock and Terror,James Nguyen,Drama/Mystery,1h 45m,19%,2010,n/a,TRUE,"A horde of mutated birds descends upon the quiet town of Half Moon Bay, California. With the death toll rising, Two citizens manage to fight back, but will they survive Birdemic?"
11,Plan 9 from Outer Space,Ed Woods,Drama/Sci-fi ,1h 20m,67%,1959,n/a,TRUE,"Evil aliens attack Earth and set their terrible ""Plan 9"" into action. As the aliens resurrect the dead of the Earth, the lives of the living are in danger."
12,The Roller Blade Seven,Donald G. Jackson,Indie/Action,1h 30m,19%,1991,n/a,TRUE,"In a futuristic society, a sword-wielding roller skater fights evil ninjas, punk roller skaters and is sent on an important rescue mission"
13,Ghoulies III: Ghoulies Go to College,John Carl Buechler,Horror/Comedy,1h 34m,20%,1991,n/a,TRUE,"A college teacher brings the little creatures back to his campus, where they proceed to terrorize the faculty and students."
14,The Toxic Avenger,"Lloyd Kaufman, Michael Herz",Fantasy/Sci-fi,1h 50m,70%,1984,n/a,TRUE,Tromaville has a monstrous new hero. The Toxic Avenger is born when meek mop boy Melvin falls into a vat of toxic waste. Now evildoers will have a lot to lose.
